,GPA,GREQ,GREV,GREAWA
1052,3.4,170,159,4
1053,3.4,170,159,4
1054,3.4,170,159,4
1055,3.4,170,159,4
1056,3.4,170,159,4
1057,3.4,170,159,4
1058,3.6,168,149,3
1059,3.85,170,162,4
1060,3.93,167,159,3.0
1061,3.45,170,155,3
1062,9.1,168,164,3
1063,3.9,166,162,4.0
1064,3.92,170,152,3.5
1065,3.83,170,162,3.5
1066,3.5,159,169,5
1067,3.5,170,161,4
1068,3.5,170,161,4
1069,3.4,170,151,3.5
1070,3.73,163,155,3.5
1071,3.93,167,159,3.0
1072,6.5/10,166,159,4
1073,PhD: 4.0 Undergraduate: 3.9,,,N/A
1074,3.6,170,156,3.5
1075,3.5,170,162,3.5
1076,3.52,170,160,4
1077,3.7,170,155,3.5
1078,3.9,170,157,4
1079,3.93,169,160,4.5
1080,9.1,168,164,3
1081,3.73,170,157,3.5
1082,3.9,170,160,3.5
1083,3.5,170,150,2.5
1084,3.8,166,160,4
1085,3.61,170,154,3.5
1086,3.69,169,148,4.0
1087,3.6,170,156,3.5
1088,3.45,170,155,3
1089,3.61,168,150,4
1090,3.45,170,155,3
1091,3.7,170,158,3
1092,3.89,168,158,3.5
1093,3.89,168,158,3.5
1094,3.89,168,158,3.5
1095,3.89,168,158,3.5
1096,3.7,170,155,4
1097,3.8,168,159,3.5
1098,3.86,170,155,3.5
1099,3.86,170,155,3.5
1100,3.86,170,155,3.5
1101,3.86,170,155,3.5
1102,3.85,170,157,4
1103,3.73,170,157,3.5
1104,3.24,170,154,4
1105,3.24,170,154,4
1106,3.24,170,154,4
1107,3.83,170,162,3.5
1108,3.95,170,160,4.5
1109,3.95,170,160,4.5
1110,3.9,170,161,4
1111,3.82,170,152,4.0
1112,4,169,147,4.5
1113,4,169,147,4.5
1114,3.6,166,150,3.5
1115,3.6,166,150,3.5
1116,3.73,163,155,3.5
1117,4,167,155,4
1118,6.5/10,166,159,4
1119,3.7,170,155,4
1120,3.8,127,125,5
1121,3.55,170,158,4
1122,3.4,158,150,3
1123,3.8,167,154,3.0
1124,3.72,170,147,3
1125,3.72,170,147,3
1126,3.72,170,147,3
1127,3.7,170,155,4
1128,3.58,169,158,3.5
1129,3.5,170,154,3.5
1130,3.87,168,151,3.5
1131,3.61,168,152,4
1132,3.73,170,157,3.5
1133,3.69,163,164,4.5
1134,3.88,170,161,4
1135,3.88,170,161,4
1136,3.88,170,161,4
1137,3.7,170,155,4
1138,3.61,168,150,4
1139,3.61,158,150,4
1140,3.61,168,150,4
1141,66.5,170,150,4
1142,66.51,170,150,3.5
1143,3.83,170,165,4.5
1144,3.83,170,165,4.5
1145,3.83,170,165,4.5
1146,3.84,170,165,4.0
1147,3.4,168,154,4.5
1148,3.4,168,154,4.5
1149,3.5,168,154,4.5
1150,3.4,168,154,4.5
1151,3.85,170,162,3.5
1152,3.85,170,162,3.5
1153,3.92,170,152,3
1154,60.98%,170,163,4
1155,3.95,170,160,4.5
1156,3.5,170,153,3.5
1157,3.55,170,152,3.5
1158,3.8,170,163,4.0
1159,3.4,158,150,3
1160,3.4,158,150,3
1161,3.4,158,150,3
1162,3.8,170,158,4.5
1163,3.9,170,160,3.5
1164,3.4,170,160,3.5
1165,3.52,170,154,3.5
1166,3.52,170,154,3.5
1167,3.52,170,154,3.5
1168,3.52,170,154,3.5
1169,3.52,170,154,3.5
1170,3.52,170,154,3.5
1171,3.52,167,151,3.5
1172,3.94,170,161,3
1173,3.82,169,151,3
1174,3.1,169,157,3.0
1175,4.32/5.00,170,155,3.5
1176,3.9,170,161,3
1177,3.68,170,157,4
1178,3.7,170,158,4.0
1179,3.8,168,153,3.5
1180,3.68,170,157,4
1181,3.94,168,157,3
1182,3.94,168,157,3
1183,3.94,168,157,3
1184,3.95,163,150,3
1185,8.2,164,148,3
1186,3.8,168,159,3.5
1187,3.91,170,159,4.5
1188,3.85,170,162,4
1189,3.85,170,162,4
1190,3.1,164,159,3
1191,3.1,164,159,3
1192,3.1,164,159,3
1193,3.1,164,159,3
1194,3.85,170,155,4.5
1195,4.41/5.0,170,153,3.0
1196,3.45,170,155,3
1197,3.9,170,161,3
1198,3.5,170,151,3
1199,3.8,170,160,3.5
1200,3.9,170,157,4.0
1201,3.69,168,158,4.0
1202,8.62/10,170,155,4.0
1203,4,164,149,4
1204,3.90,170,155,3.5
1205,3.45,170,155,3
1206,3.67,170,159,3.5
1207,3.92,170,159,4.5
1208,3.73,170,157,3.5
1209,3.73,163,155,3.5
1210,3.45,170,155,3
1211,3.9,170,161,4
1212,8.2/10,164,148,3
1213,3.54,164,148,3
1214,3.52,164,148,3
1215,3.656,170,156,4.0
1216,4.41/5.0,170,153,3.0
1217,3.74,170,154,3.5
1218,3.90,170,155,3.5
1219,3.73,163,155,3.5
1220,3.45,170,155,3
1221,3.3,170,162,4.0
1222,3.8,170,149,3.5
1223,3.7,170,155,4
1224,3.62,170,154,3.5
1225,3.69,169,148,4.0
1226,4,169,147,4.5
1227,3.68,170,148,3
1228,3.8,168,159,3.5
1229,3.8,168,159,3.5
1230,3.8,168,159,3.5
1231,3.5,170,153,3.5
1232,3.61,168,150,4
1233,3.4,170,158,4.0
1234,3.4,170,158,4.0
1235,3.4,170,158,4
1236,3.89,170,162,3.5
1237,9.1/10,168,164,3
1238,3.68,170,148,3
1239,3.68,170,148,3
1240,3.9,170,160,3.5
1241,3.90,170,155,3.5
1242,3.92,170,152,3.5
1243,4,167,155,4
1244,3.866,170,164,4
1245,3.87,170,164,4
1246,3.65,170,164,3.5
1247,3.7,170,155,4
1248,3.8,170,154,4
1249,3.8,170,154,4
1250,3.85,170,155,4.5
1251,3.71,170,157,3.0
1252,3.45,170,155,3
1253,6/9,170,159,4.5
1254,3.8,170,162,3.5
1255,3.7,170,155,4
1256,3.75,167,161,3.5
1257,91/100,165,154,3
1258,First Class Honours,169,166,5.0
1259,3.95,170,152,3.0
1260,3.87,168,151,3.5
1261,3.83,170,165,4.5
1262,3.60,170,159,3.5
1263,3.64,167,156,3.5
1264,6.5/10,166,159,4
1265,3.95,170,160,4.5
1266,3.7,170,155,4.0
1267,3.7,170,158,4.0
1268,3.75,170,164,3
1269,3.75,170,164,3
1270,3.65,170,164,3.5
1271,3.65,170,164,3.5
1272,3.65,170,164,3.5
1273,3.94,168,157,3
1274,3.94,157,168,3
1275,3.94,,,not reported
1276,3.76,170,150,3
1277,3.88,170,161,4
1278,3.88,170,161,4
1279,3.67,170,159,3.5
1280,3.55,167,160,3.5
1281,3.7,170,155,4
1282,6.5/10,166,159,4
1283,3.84,170,165,4.0
1284,3.83,170,162,3.5
1285,3.9,170,160,3.5
1286,3.9,170,152,3
1287,4.41/5.0,170,153,3.0
1288,3.6,170,156,3.5
1289,3.98,170,159,4.0
1290,3.6,166,150,3.5
1291,4,169,147,4.5
1292,4,169,147,4.5
1293,3.52,167,151,3.5
1294,3.73,170,157,3.5
1295,3.7,160,168,4.0
1296,3.86,168,151,3
1297,3.77,170,164,4
1298,3.87,168,151,3.5
1299,3.96,170,156,4
1300,3.86,168,151,3
1301,3.64,167,156,3.5
1302,3.9,170,161,3
1303,3.74,170,155,3
1304,3.7,168,160,4.0
1305,3.91,170,158,4
1306,3.83,170,157,3.5
1307,8.6/10,169,148,4.0
1308,3.71,170,157,3.0
1309,8.09/10,168,154,4
1310,8.09/10,168,154,4
1311,3.8,170,156,4.0
1312,3.60,170,159,3.5
1313,3.90,170,155,3.5
1314,3.97,168,161,4
1315,3.71,170,153,4.0
1316,3.87,168,151,3.5
1317,6/9,170,159,4.5
1318,6/9,170,159,4.5
1319,3.61,168,150,4
1320,3.98,170,159,4.0
1321,9.1,168,164,3
1322,3.6,166,150,3.5
1323,3.866,170,164,4
1324,3.60,170,159,3.5
1325,3.45,170,155,3
1326,3.6,,,N
1327,60.98%,170,163,4
1328,4.41/5.0,170,153,3.0
1329,3.69,169,148,4.0
1330,3.67,170,155,3.5
1331,3.4,168,163,5
1332,3.83,167,157,3.5
1333,3.64,167,156,3.5
1334,3.64,167,156,3.5
1335,1,100,100,1
1336,4.0,170,158,5.0
1337,4.0,170,158,4.5
1338,3.63,170,148,3.5
1339,3.63,170,148,3.5
1340,3.63,170,148,3.5
1341,82/100,170,152,4.0
1342,82/100,170,152,4.0
1343,82/100,170,152,4.0
1344,82/100,170,152,4.0
1345,82/100,170,152,4.0
1346,82/100,170,152,4.0
1347,82/100,170,152,4.0
1348,3.79,167,157,3
1349,3.6,170,155,3.5
1350,3.95,170,163,3
1351,3.88,168,158,3.5
1352,4.0,170,153,4.0
1353,3.92,170,155,3
1354,3.9,170,152,3
1355,3.7,166,152,3
1356,3.7,166,152,3
1357,3.8,166,152,3
1358,3.8,170,162,3.5
1359,3.8,169,162,4.0
1360,3.8,169,162,4.0
1361,3.71,170,157,3.0
1362,91/100,165,154,3
1363,66.5%,170,150,3.5
1364,91/100,,,NA
1365,3.45,170,155,4.0
1366,3.71,170,153,4.0
1367,3.82,166,151,2.5(highest 3)
1368,3.84,170,165,4.0
1369,3.52,167,151,3.5
1370,3.71,170,157,3.0
1371,3.0,170,161,3
1372,3.86,170,166,5.5
1373,3.5,165,152,3
1374,3.7,168,160,4.5
1375,First Class Honours,168,161,4.5
1376,8.62/10,170,155,4.0
1377,8.62/10,170,155,4.0
1378,8.62/10,170,155,4.0
1379,3.5,170,153,3.5
1380,3.4,170,150,2.5
1381,3.9,170,164,3.5
1382,3.97,168,161,4
1383,3.97,168,161,4
1384,3.97,168,161,4
1385,3.97,168,161,4
1386,3.89,167,161,3.5
1387,3.91,170,158,4
1388,4.41/5.0,170,153,3.0
1389,3.77,170,164,4
1390,3.71,170,153,4.0
1391,3.83,170,162,3.5
1392,3.92,170,152,3.5
1393,3.88,170,157,3.5
1394,3.7,170,155,4
1395,4,167,157,3.5
1396,3.866,170,164,4
1397,3.6,166,150,3.5
1398,3.73,170,157,3.5
1399,3.24,170,154,4
1400,3.77,170,164,4
1401,3.6,161,150,3.5
1402,3.5,170,162,4
1403,3.5,170,162,4
1404,60.98%,170,163,4
1405,3.71,170,153,4.0
1406,3.9,170,160,3.5
1407,3.71,170,157,3.0
1408,3.60,170,159,3.5
1409,3.8,168,153,3.5
1410,3.9,170,158,3.5
1411,3.7,170,155,4.0
1412,3.9,170,157,4
1413,3.9,170,157,4
1414,3.67,170,159,3.5
1415,3.67,170,159,3.5
1416,3.67,170,159,3.5
1417,3.67,170,159,3.5
1418,3.67,170,159,3.5
1419,4.0,170,158,4.5
1420,4.0,167,168,5.0
1421,3.6,170,165,3.5
1422,3.74,170,153,3.5
1423,3.23,170,157,4.5
1424,3.7,170,155,3.5
1425,3.7,170,155,3.5
1426,3.7,170,155,3.5
1427,3.75,170,160,4
1428,3.57,170,162,3.0
1429,3.65,170,161,5
1430,3.65,170,161,5
1431,4,167,158,3.5
1432,4,170,156,4.5
1433,91/100,165,154,3
1434,91/100,165,154,3
1435,3.8,170,162,3.5
1436,8.62/10,170,155,4.0
1437,First Class Honours,169,166,5.0
1438,4.0,170,158,4.5
1439,3.5,168,155,3.5
1440,3.75,170,153,3
1441,3.71,170,157,3.0
1442,3.7,168,160,4.5
1443,8.7/10,48,38,4
1444,3.70,170,155,4.5
1445,3.9,170,163,3.5
1446,3.95,170,160,4.5
1447,3.83,170,165,4.5
1448,3.83,170,165,4.5
1449,3.59,169,155,4.0
1450,3.8,170,156,4.0
1451,3.4,168,164,6
1452,3.4,51,41,5
1453,3.8,167,158,4.5
1454,3.9,170,153,4
1455,3.5,170,162,4
1456,3.9,169,165,4
1457,3.94,170,161,3
1458,3.94,170,161,3
1459,3.94,170,161,3
1460,3.8,170,158,4.5
1461,3.9,170,163,4.0
1462,3.60,170,159,3.5
1463,3.7,161,166,4
1464,3.7,,,-
1465,3.6,170,165,3.5
1466,3.8,170,162,3.5
1467,4.0,165,160,5.0
1468,3.75,167,161,3.5
1469,3.93 WES,169,160,4.0
1470,3.76,170,164,6
1471,3.8/4.0,170,158,4.5
1472,3.65,170,155,4.0
1473,3.8,170,162,3.5
1474,3.75,170,160,4
1475,3.6,170,156,3.5
1476,3.88,170,161,4
1477,3.88,170,161,4
1478,3.6,170,156,3
1479,3.7,170,159,3.5
1480,3.73,170,157,3.5
1481,1,140,150,5
1482,-,,,-
1483,3.85,170,162,4
1484,66.5%,51,36,4.5
1485,3.6,166,150,3.5
1486,8.21/10,168,154,4
1487,3.9,170,159,3.5
1488,3.9,170,159,3.5
1489,3.5,165,152,3
1490,3.9,170,164,3.5
1491,3.6,168,154,4
1492,4.0,169,147,4.5
1493,9.1,168,164,3
1494,3.92,170,150,3.5
1495,9.1/10,168,164,3
1496,9.1/10,168,164,3
1497,9.1/10,168,164,3
1498,9.1/10,168,164,3
1499,3.52,167,151,3.5
1500,3.52,167,151,3.5
1501,3.52,167,151,3.5
1502,3.52,167,151,3.5
1503,3.52,167,151,3.5
1504,3.71,170,163,4.0
1505,3.45,170,155,3
1506,3.45,170,155,3
1507,3.45,170,155,3
1508,3.24,170,154,4
1509,3.24,170,154,4
1510,3.24,170,154,4
1511,3.9,170,164,3.5
1512,3.9,170,164,3.5
1513,3.9,170,164,3.5
1514,3.9,170,164,3.5
1515,3.85,170,157,4
1516,3.71,169,153,3.5
1517,3.5,170,161,3
1518,3.20,170,152,3.0
1519,3.79,167,157,3
1520,3.6,,,N
1521,3.98,170,159,4.0
1522,3.73,170,164,3.5
1523,3.86,170,166,5.5
1524,3.60,170,159,3.5
1525,3.7,170,159,3.5
1526,3.92,170,152,3.5
1527,3.5,170,162,3.5
1528,3.5,170,162,3.5
1529,3.5,170,162,3.5
1530,3.5,170,162,3.5
1531,3.62,170,154,3.5
1532,3.62,170,154,3.5
1533,3.67,170,155,3.5
1534,3.65,170,155,4
1535,3.90,170,155,3.5
1536,3.83,167,157,3.5
1537,77.5%,163,151,3.5
1538,4.0,170,153,4.0
1539,3.0,159,152,3.5
1540,3.83,170,157,3.5
1541,3.83,170,157,3.5
1542,3.83,170,157,3.5
1543,3.83,170,157,3.5
1544,3.83,170,157,3.5
1545,3.8,170,158,4.5
1546,3.60,170,159,3.5
1547,3.7,170,153,3.0
1548,3.83,170,165,4.5
1549,3.83,170,165,4.5
1550,3.87,168,157,4
1551,3.60,170,159,3.5
1552,3.86,170,152,3.5
1553,3.7+,170,158,4.5
1554,60.98%,170,163,4
1555,60.98%,170,163,4
1556,60.98%,170,163,4
1557,3.89,167,161,3.5
1558,3.69,163,164,4.5
1559,3.89,167,161,3.5
1560,3.79,167,157,3
1561,3.79,167,157,3
1562,3.79,167,157,3
1563,3.79,167,157,3
1564,3.79,167,157,3
1565,3.74,170,153,3.5
1566,3.8,168,153,3.5
1567,3.63,170,156,3.5
1568,8.21/10,168,154,4
1569,3.95,163,150,3
1570,3.3,170,170,4
1571,3.3,170,170,4
1572,3.96,170,156,4
1573,3.62,170,154,3.5
1574,3.7,,,-
1575,3.84,170,160,3
1576,3.73,170,153,4
1577,3.80,170,158,4.5
1578,3.9,167,152,4
1579,3.7,164,161,4.5
1580,3.5,170,161,3
1581,3.60,170,159,3.5
1582,3.5,170,152,3.5
1583,3.6,168,149,3
1584,3.69,163,164,4.5
1585,3.74,170,153,3.5
1586,3.89,168,159,4.5
1587,3.74,170,153,3.5
1588,3.73,170,159,4.0
1589,3.60,170,159,3.5
1590,3.60,170,159,3.5
1591,3.60,170,159,3.5
1592,3.6,170,165,3.5
1593,3.6,170,165,3.5
1594,3.74,170,153,3.5
1595,3,164,149,3
1596,3.7,170,155,4
1597,3.66,170,163,3.5
1598,3.66,170,163,3.5
1599,3.66,170,163,3.5
1600,3.61,168,150,4
1601,3.61,168,150,4
1602,3.85,170,155,4.5
1603,3.71,170,157,3.0
1604,3.71,170,153,4.0
1605,3.9,167,158,4.5
1606,3.71,170,157,3.0
1607,3.3,170,152,3.5
1608,3.3,170,152,3.5
1609,3.92,170,152,3.5
1610,3.98,170,159,4.0
1611,3.62,170,154,3.5
1612,3.7,164,161,4.5
1613,3.5,170,162,3
1614,3.7,170,163,3.5
1615,3.64,170,162,3
1616,3.5,170,153,3.5
1617,3.93,170,155,4
1618,3.83,170,165,4.5
1619,8.21/10,168,154,4
1620,3.8,167,158,4.5
1621,3.78,165,148,3.5
1622,3.5,166,154,3.5
1623,6.9,170,154,4
1624,N/A,170,160,3
1625,66.51,51,36,4.5
1626,3.83,170,163,3.5
1627,3.55,170,152,3.5
1628,3.55,170,152,3.5
1629,3.55,170,152,3.5
1630,3.93,170,155,4
1631,3.93,170,155,4
1632,3.97,170,154,3
1633,3.9,164,152,3
1634,3.9,164,152,3
1635,3.9,170,160,3.5
1636,3.85,170,155,4.5
1637,3.5,168,169,4.5
1638,3.8,170,162,4
1639,3.8,170,166,5.5
1640,3.5,168,169,4.5
1641,72%,51,41,4
1642,66.5%,51,36,4.5
1643,66.51,170,150,3.5
1644,3.84,170,157,3
1645,3.85,170,155,4.5
1646,3.85,170,162,4.0
1647,3.46,170,156,3.5
1648,3.87,168,157,4
1649,91.5/100,170,163,4.0
1650,3.91,170,158,4
1651,3.9,169,165,4
1652,3.9,170,159,4.5
1653,3.9,170,160,3.5
1654,3.7,170,162,3.5
1655,3.8,170,161,4
1656,3.74,170,161,4
1657,3.6,170,151,3.0
1658,3.6,170,151,3.0
1659,3.6,170,151,3.0
1660,3.6,170,151,3.0
1661,3.98,170,159,4.0
1662,3.98,170,159,4.0
1663,3.98,170,159,4.0
1664,3.7,164,161,4.5
1665,3.73,170,159,4.0
1666,3.9,169,162,3.5
1667,3.86,170,166,6
1668,3.97,170,159,4
1669,3.6,166,150,3.5
1670,3.6,166,150,3.5
1671,3.79,170,158,4
1672,3.75,165,148,3.5
1673,3.64,167,156,3.5
1674,3.64,167,156,3.5
1675,3.65,165,164,6
1676,3.5,166,154,3.5
1677,3.11,170,152,3.5
1678,3.84,170,157,3
1679,3.84,170,157,3
1680,3.84,170,157,3
1681,3.5,170,153,3.5
1682,3.7,169,154,3.5
1683,3.8,170,158,4.5
1684,3.8,170,158,4.5
1685,3.2,169,145,4.0
1686,3.5,170,153,3.5
1687,3.5,170,153,3.5
1688,3.2,169,145,4.0
1689,3.8,170,156,4
1690,6.24,164,159,4.5
1691,3.92,170,152,3.5
1692,3.65,170,154,3
1693,3.64,151,149,4
1694,3.64,151,149,4
1695,3.73,170,158,4
1696,3.9,170,160,3.5
1697,3.83,167,157,3.5
1698,3.9,168,166,4
1699,3.9,168,166,4
1700,3.5,168,169,4.5
1701,3.78,168,160,4.0
1702,3.73,170,158,4.0
1703,3.85,170,162,4
1704,3.85,170,162,4
1705,3.57,170,162,3.0
1706,3.54,170,162,5.0
1707,3.22,170,163,3
1708,3.53,170,150,3
1709,3.9,170,151,3.5
1710,8.09/10,168,154,4
1711,3.9,170,159,4.5
1712,3.9,169,158,3.5
1713,3.8,168,161,4.5
1714,3.72,170,155,3.5
1715,3.81,170,163,3.5
1716,3.4,170,159,3.5
1717,3.02,168,161,4
1718,3.02,168,161,4
1719,3.02,168,161,4
1720,3.02,168,161,4
1721,3.02,168,161,4
1722,3.75,170,152,3
1723,3.0,166,166,5.0
1724,3.5,168,160,4.5
1725,3.86,170,157,3.5
1726,3.0,49,40,5.0
1727,3.67,168,161,4.5
1728,3.81,169,158,4.5
1729,3.8,165,150,3
1730,4.0,170,158,3.5
1731,4.0,170,158,3.5
1732,4.0,170,158,3.5
1733,3.904,165,151,3.5
1734,6.94,165,157,3.5
1735,3.61,162,156,4.5
1736,3.66,167,153,3.5
1737,3.5,,,-
1738,3.55,170,154,3.0
1739,3.55,170,154,3.0
1740,3.0,166,164,4
1741,3.7,170,160,4.0
1742,3.78,170,155,4.0
1743,3.78,170,155,4.0
1744,3.89,170,159,4.0
1745,3.4,164,159,4
1746,3.78,170,157,3.0
1747,3.6,160,156,3.5
1748,3.63,170,158,4.0
1749,3.89,170,159,4.0
1750,3.64,164,149,4.5
1751,3.6,167,158,3.5
1752,3.79,167,152,3
1753,89/100,,,-
1754,N/A,166,158,3.0
1755,3.5,165,159,3.5
1756,3.79,167,152,3
1757,3.79,167,152,3
1758,3.79,167,152,3
1759,"3,79",167,152,3
1760,"3,79",167,152,3
1761,3.79,167,152,3
1762,3.79,167,152,3
1763,3.79,167,152,3
1764,3.92,170,153,4
1765,4.0,170,155,3.0
1766,3.76,163,157,3
1767,3.65,170,154,3.0
1768,3.71,170,157,3.0
1769,3.63,167,145,3
1770,3.3,167,166,3.5
1771,3.9,170,161,3.5
1772,3.85,170,150,3.5
1773,3.7,170,157,3
1774,3.7,170,157,3
1775,3.68,170,154,3.0
1776,3.48,170,160,5
1777,3.48,170,160,5
1778,3.4,170,152,4.0
1779,3.5,168,158,4
1780,3.77,168,156,3.0
1781,3.70,167,153,3.5
1782,3.93,170,155,4
1783,3.62,163,155,3.5
1784,3.55,170,161,4
1785,3.6,170,156,3.5
1786,3.59,170,156,3.5
1787,3.6,166,157,4
1788,3.99,170,148,3
1789,3.9,170,153,4.5
1790,3.65,170,157,3
1791,3.8,168,158,3.5
1792,3.895,168,156,3.0
1793,3.895,168,156,3.0
1794,3.54,170,163,4.0
1795,3.69,170,158,4
1796,3.1,167,157,4
1797,3.78,170,158,3.0
1798,3.6,170,156,3.5
1799,3.23,162,146,3.0
1800,3.8,164,170,4
1801,NA,,,NA
1802,3.58,164,152,3
1803,3.58,164,152,3
1804,3.52,162,143,3.0
1805,3.80,170,162,3.5
1806,3,169,151,3.5
1807,3.84,170,159,4
1808,3.895,168,156,3.0
1809,3.6,160,170,4.5
1810,3.9,170,150,3
1811,3.56,160,151,3.5
1812,3.895,168,156,3.0
1813,3.48,170,160,5
1814,3.92,169,155,3.5
1815,8.8,170,161,4
1816,4.0,168,159,5.5
1817,8.86/10,,,-
1818,3.8,170,157,3.5
1819,3.8,170,157,3.5
1820,3.86,170,159,3
1821,4/5,49,42,4
1822,3.48,170,160,5
1823,3.69,170,158,4
1824,3.76,168,156,3
1825,3.4,167,156,6
1826,3.74,170,154,3.5
1827,3.1,165,155,3.0
1828,3.56,160,151,3.5
1829,3.56,160,151,3.5
1830,3.74,170,154,3.5
1831,3.51,167,152,3.5
1832,3.51,167,152,3.5
1833,3.7,168,149,3.0
1834,3.7,168,149,3.0
1835,3.895,165,161,4.5
1836,3.58,164,152,3
1837,3.76,168,156,3
1838,3.66,170,154,3
1839,3.66,170,154,3
1840,3.8,169,153,3.0
1841,3.56,170,162,4
1842,3.3,170,152,4
1843,3.3,170,152,4
1844,3.70,167,153,3.5
1845,3.70,167,153,3.5
1846,3.895,168,156,3.0
1847,3.73,170,153,3.0
1848,3.44,170,160,5
1849,3.7,170,157,3
1850,3.83,170,149,3.0
1851,3.76,168,156,3
1852,3.82,168,158,3.5
1853,3.6,170,156,3.5
1854,4/5,,,--
1855,4/5,49,42,4
1856,4/5,49,42,4
1857,4/5,49,42,4
1858,3.6,780,800,4.5
1859,3.67,167,165,5
1860,3.5,,,-
1861,3.96,170,159,3.5
1862,3.96,170,159,3.5
1863,3.99,169,157,3.5
1864,-,,,-
1865,8.5/10,170,158,3.5
1866,3.54,170,163,4.0
1867,3.5,170,163,4.0
1868,3.54,170,163,4.0
1869,3.8,169,153,3
1870,3.65,170,150,3.5
1871,3.82,168,158,3.5
1872,3.82,168,158,3.5
1873,3.75,,,Waived
1874,3.83,168,159,3.5
1875,3.51,167,152,3.5
1876,3.69,170,158,4
1877,3.44,170,160,5
1878,3.6,164,153,3
1879,3.3,170,151,3.5
1880,3.3,170,151,3.5
1881,3.64,,,None
1882,3.81,170,153,4.5
1883,3.81,170,153,4.5
1884,3.67,167,154,4.0
1885,75%,170,149,3
1886,8.8,170,161,4.5
1887,3.73,170,153,3.0
1888,3.76,170,160,3
1889,3.76,170,160,3
1890,3.76,170,160,3
1891,3.5,166,144,3
1892,3.9,170,161,5
1893,3.98,168,154,4.0
1894,3.9,170,157,3.5
1895,3.76,168,156,3
1896,3.83,170,149,3.0
1897,3.93,170,155,4
1898,3.73,170,153,3.0
1899,3.8,170,152,3.0
1900,3.73,170,153,3.0
1901,3.7,,,~
1902,3.21,161,160,4.0
1903,3.8,170,157,3.0
1904,3.7,168,154,3
1905,3.8,169,153,3
1906,3.73,170,153,3.0
1907,3.73,170,153,3.0
1908,3.99,169,157,3.5
1909,3.81,163,159,5.0
1910,3.81,163,159,5.0
1911,3.71,169,164,3.5
1912,3.63,168,165,4
1913,3.63,168,165,4
1914,3.63,168,165,4
1915,8.5/10,170,158,3.5
1916,3.73,165,153,4.0
1917,3.64,164,149,4.5
1918,3.5,168,152,3.5
1919,3.6,167,154,4
1920,3.4,168,158,4
1921,3.4,168,158,4.0
1922,3.98,165,162,5.0
1923,3.98,165,162,5.0
1924,3.895,168,156,3.0
1925,3.83,168,159,3.5
1926,3.83,168,159,3.5
1927,3.79,170,150,3.0
1928,3.77,170,161,3.5
1929,3.77,170,161,3.5
1930,3.77,170,161,3.5
1931,3.77,170,161,3.5
1932,3.77,170,161,3.5
1933,3.5,166,150,4
1934,3.44,170,160,5
1935,3.82,168,158,3.5
1936,3.78,170,161,4.5
1937,3.96,170,155,4.0
1938,3.7,800,700,4
1939,3.7,800,700,4
1940,3.74,168,154,3
1941,3.83,168,157,3
1942,3.69,170,154,3.5
1943,6.94,165,157,3.5
1944,3.71,170,153,3
1945,3.78,170,155,4.0
1946,3.78,170,155,4.0
1947,3.26,148,139,3
1948,3.26,148,139,3
1949,3.26,148,139,3
1950,3.6,170,156,3.5
1951,3.73,170,153,3.0
1952,3.70,167,153,3.5
1953,3.85,167,152,4.0
1954,3.85,167,152,4.0
1955,3.85,167,152,4.0
1956,3.66,167,153,3.5
1957,3.66,167,153,3.5
1958,3.67,168,155,4.0
1959,3.73,170,153,3.0
1960,3.73,165,153,4.0
1961,3.73,165,153,4.0
1962,3.9,170,155,3.5
1963,3.9,170,155,3.5
1964,3.9,170,155,3.5
1965,3.9,170,155,3.5
1966,3.9,170,155,3.5
1967,3.9,170,155,3.5
1968,3.69,170,158,4
1969,3.69,170,158,4
1970,3.69,170,158,4
1971,3.69,170,158,4
1972,3.69,170,158,4
1973,3.69,170,158,4
1974,3.69,170,158,4
1975,3.69,170,158,4
1976,3.8,170,151,3
1977,3.78,170,161,4.5
1978,3.83,170,159,3.5
1979,3.8,170,152,3.0
1980,3.8,170,152,3.0
1981,3.89,170,159,4.0
1982,4.0,170,153,3.00
1983,3.63,164,157,4
1984,3.78,170,158,4.5
1985,3.99,160,168,3
1986,8.8,170,161,4.5
1987,4.0,168,159,5.5
1988,3.96,170,155,4.0
1989,3.5,170,156,3
1990,3.96,170,159,3.5
1991,3.7,168,149,3.0
1992,3.7,168,149,3.0
1993,3.7,168,149,3.0
1994,3.66,170,152,4.5
1995,3.98,165,162,5.0
1996,3.9,170,161,5
1997,3.51,167,152,3.5
1998,3.8,170,151,3
1999,3.8,170,151,3
2000,3.8,170,151,3
2001,3.7,163,157,4.5
2002,3.99,160,157,4.5
2003,3.79,170,150,3.0
2004,8.86/10,170,151,3
2005,3.76,168,156,3
2006,1st class,169,162,3.5
2007,93/100,,,NA
2008,3.1,163,151,3
2009,3.6,165,160,3.5
2010,3.84,170,161,3.5
2011,3.83,170,149,3.0
2012,3.79,170,150,3.0
2013,3.04(WES),170,156,3.0
2014,3.79,170,150,3.0
2015,3.69,170,160,4.0
2016,3.88,170,156,4.0
2017,3.88,170,156,4.0
2018,3.6,170,156,3.5
2019,3.6,167,144,2.5
2020,~,,,~
2021,3.76,168,156,3
2022,4.0,168,159,5.5
2023,3.7,,,N/A
2024,~,,,~
2025,86,170,159,3.5
2026,3.93,170,155,4
2027,3.8,170,155,3
2028,86,170,159,3.5
2029,3.8,170,156,3
2030,3.59,170,156,3.5
